2023-09-2020:46:51.221 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-09-2020:46:51.222 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-2020:46:51.224 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2023-09-2020:46:51.249 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-09-2020:46:51.249 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 382 ms
2023-09-2020:46:51.310 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-2020:46:51.317 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2023-09-2020:46:51.354 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2023-09-2020:46:51.354 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-2020:46:51.488 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-2020:46:51.490 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-2020:48:10.866 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3abafd83, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55f14a8e, org.springframework.security.web.context.SecurityContextPersistenceFilter@409ab9ca, org.springframework.security.web.header.HeaderWriterFilter@74ff66b2, org.springframework.security.web.authentication.logout.LogoutFilter@425e1f1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@113bac3c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3fe86675, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@30ad4dcc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fb98f62, org.springframework.security.web.session.SessionManagementFilter@30823d4a, org.springframework.security.web.access.ExceptionTranslationFilter@8defa66, org.springframework.security.web.access.intercept.AuthorizationFilter@229b052f]
2023-09-2020:48:10.881 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
